symbol,date,open,high,low,close,volume
AAPL,2026-01-28,100.0,100.73,98.24,98.51,12513391
AAPL,2026-01-29,98.51,99.85,98.25,99.31,1332866
AAPL,2026-01-30,99.31,99.48,97.84,98.09,12873810
AAPL,2026-01-31,98.09,100.51,97.61,99.62,13051462
AAPL,2026-02-01,99.62,100.8,98.88,100.13,1576289
AAPL,2026-02-02,100.13,100.25,98.56,99.46,16596950
AAPL,2026-02-03,99.46,100.31,98.04,98.89,2642396
AAPL,2026-02-04,98.89,99.61,98.44,99.44,15033522
AAPL,2026-02-05,99.44,101.45,98.89,100.47,8272561
AAPL,2026-02-06,100.47,101.19,98.45,98.72,7504197
AAPL,2026-02-07,98.72,98.96,97.39,97.71,5539731
AAPL,2026-02-08,97.71,97.94,96.19,96.4,16152908
AAPL,2026-02-09,96.4,97.26,94.4,94.89,15699157
AAPL,2026-02-10,94.89,95.72,93.94,94.46,4182931
AAPL,2026-02-11,94.46,94.72,92.35,93.1,9117401
AAPL,2026-02-12,93.1,93.65,91.32,91.66,5037039
AAPL,2026-02-13,91.66,92.01,89.71,89.95,13337506
AAPL,2026-02-14,89.95,90.79,89.78,90.49,6073799
AAPL,2026-02-15,90.49,91.3,88.1,88.92,17524317
AAPL,2026-02-16,88.92,89.81,88.22,89.64,5964483
AAPL,2026-02-17,89.64,89.9,88.47,88.88,13052663
AAPL,2026-02-18,88.88,89.22,87.49,88.25,18961367
AAPL,2026-02-19,88.25,88.89,86.51,87.12,3445058
AAPL,2026-02-20,87.12,87.83,86.32,86.79,10501336
AAPL,2026-02-21,86.79,88.73,86.66,88.5,7690937
AAPL,2026-02-22,88.5,90.19,87.86,89.7,16250369
AAPL,2026-02-23,89.7,89.95,88.33,88.77,10947170
AAPL,2026-02-24,88.77,89.54,87.91,88.64,4521580
AAPL,2026-02-25,88.64,88.78,88.19,88.23,11899782
AAPL,2026-02-26,88.23,88.86,86.32,87.11,9076633
MSFT,2026-01-28,120.0,121.67,119.54,120.68,16880049
MSFT,2026-01-29,120.68,120.88,119.83,120.52,10824658
MSFT,2026-01-30,120.52,122.47,120.13,121.46,11030691
MSFT,2026-01-31,121.46,121.49,119.46,120.16,16314991
MSFT,2026-02-01,120.16,120.87,117.28,118.41,2036248
MSFT,2026-02-02,118.41,120.75,117.31,120.73,14945750
MSFT,2026-02-03,120.73,121.52,119.53,121.19,11869234
MSFT,2026-02-04,121.19,121.22,120.82,121.21,18160984
MSFT,2026-02-05,121.21,124.66,120.83,123.66,1564195
MSFT,2026-02-06,123.66,124.78,121.7,122.88,18114984
MSFT,2026-02-07,122.88,123.52,122.37,122.91,11525430
MSFT,2026-02-08,122.91,123.9,120.64,121.04,9290714
MSFT,2026-02-09,121.04,121.53,119.83,121.42,9860142
MSFT,2026-02-10,121.42,122.5,120.87,121.0,11685898
MSFT,2026-02-11,121.0,124.18,120.21,123.08,16171624
MSFT,2026-02-12,123.08,123.28,120.59,121.06,11618977
MSFT,2026-02-13,121.06,121.42,120.39,121.15,1275946
MSFT,2026-02-14,121.15,124.29,121.09,123.55,6743020
MSFT,2026-02-15,123.55,124.2,121.51,121.85,2400005
MSFT,2026-02-16,121.85,123.09,121.47,122.9,3955977
MSFT,2026-02-17,122.9,125.95,122.5,125.06,2346083
MSFT,2026-02-18,125.06,126.25,124.44,125.78,1045565
MSFT,2026-02-19,125.78,126.03,124.7,125.82,14490895
MSFT,2026-02-20,125.82,126.29,125.03,125.3,13737536
MSFT,2026-02-21,125.3,127.41,124.99,126.8,9673572
MSFT,2026-02-22,126.8,127.41,125.26,125.74,7623285
MSFT,2026-02-23,125.74,125.85,124.56,125.27,14998024
MSFT,2026-02-24,125.27,125.42,124.69,125.25,4185804
MSFT,2026-02-25,125.25,127.8,124.58,127.24,13999212
MSFT,2026-02-26,127.24,130.0,126.1,128.98,17691505
GOOGL,2026-01-28,140.0,141.85,139.68,141.52,12385537
GOOGL,2026-01-29,141.52,144.1,141.28,143.68,12003658
GOOGL,2026-01-30,143.68,147.59,143.06,146.25,1936387
GOOGL,2026-01-31,146.25,147.63,144.07,144.1,18403720
GOOGL,2026-02-01,144.1,145.03,142.74,144.23,8935632
GOOGL,2026-02-02,144.23,145.0,143.18,143.91,18704263
GOOGL,2026-02-03,143.91,143.98,142.84,143.74,3546196
GOOGL,2026-02-04,143.74,144.91,143.39,144.11,12981585
GOOGL,2026-02-05,144.11,144.87,143.35,144.0,7088295
GOOGL,2026-02-06,144.0,145.3,140.43,141.78,18518443
GOOGL,2026-02-07,141.78,143.27,140.37,142.7,16477911
GOOGL,2026-02-08,142.7,143.25,141.84,142.03,8046449
GOOGL,2026-02-09,142.03,144.67,141.91,143.82,2387532
GOOGL,2026-02-10,143.82,145.14,143.21,143.99,11284877
GOOGL,2026-02-11,143.99,144.54,140.4,141.53,5778616
GOOGL,2026-02-12,141.53,144.33,140.21,143.85,16946879
GOOGL,2026-02-13,143.85,144.24,142.24,142.43,10459607
GOOGL,2026-02-14,142.43,143.18,142.18,142.23,14385764
GOOGL,2026-02-15,142.23,143.9,141.48,143.74,17862122
GOOGL,2026-02-16,143.74,144.73,141.3,141.98,11927497
GOOGL,2026-02-17,141.98,146.0,141.97,144.79,16448879
GOOGL,2026-02-18,144.79,147.2,144.4,146.07,9201524
GOOGL,2026-02-19,146.07,146.91,144.78,144.78,2342320
GOOGL,2026-02-20,144.78,145.66,144.55,144.7,17868181
GOOGL,2026-02-21,144.7,146.16,144.59,144.73,8220613
GOOGL,2026-02-22,144.73,145.5,143.74,144.18,11344246
GOOGL,2026-02-23,144.18,145.12,141.08,141.7,14153918
GOOGL,2026-02-24,141.7,141.73,140.41,141.02,17277638
GOOGL,2026-02-25,141.02,142.24,140.41,141.08,18758358
GOOGL,2026-02-26,141.08,144.27,139.91,143.23,6495474
XOM,2026-01-28,160.0,163.76,159.56,162.73,15531471
XOM,2026-01-29,162.73,162.83,161.61,161.68,18100826
XOM,2026-01-30,161.68,163.03,160.27,160.33,8240755
XOM,2026-01-31,160.33,161.95,159.52,161.66,7984267
XOM,2026-02-01,161.66,162.09,160.06,161.29,8958213
XOM,2026-02-02,161.29,162.1,157.96,158.22,8536380
XOM,2026-02-03,158.22,159.74,156.51,157.67,17522600
XOM,2026-02-04,157.67,160.04,157.65,159.66,2935647
XOM,2026-02-05,159.66,163.87,158.1,162.88,5733589
XOM,2026-02-06,162.88,164.2,160.32,160.46,5613550
XOM,2026-02-07,160.46,163.37,160.26,163.13,8951586
XOM,2026-02-08,163.13,164.09,161.79,163.94,16947100
XOM,2026-02-09,163.94,165.39,162.37,163.9,18389063
XOM,2026-02-10,163.9,164.3,160.46,160.89,3310830
XOM,2026-02-11,160.89,162.76,159.7,162.0,2858159
XOM,2026-02-12,162.0,162.64,160.08,160.79,3887054
XOM,2026-02-13,160.79,161.55,158.72,159.76,19014430
XOM,2026-02-14,159.76,159.89,158.91,159.05,4968483
XOM,2026-02-15,159.05,162.5,158.95,162.03,8397418
XOM,2026-02-16,162.03,166.03,162.03,164.98,6528395
XOM,2026-02-17,164.98,166.14,163.03,164.41,13385125
XOM,2026-02-18,164.41,165.42,162.1,162.27,8899218
XOM,2026-02-19,162.27,162.39,158.74,159.47,8309499
